DR_NO;Date Rptd;DATE OCC;TIME OCC;AREA;AREA NAME;Rpt Dist No;Part 1-2;Crm Cd;Crm Cd Desc;Mocodes;Vict Age;Vict Sex;Vict Descent;Premis Cd;Premis Desc;Weapon Used Cd;Weapon Desc;Status;Status Desc;Crm Cd 1;Crm Cd 2;Crm Cd 3;Crm Cd 4;LOCATION;Cross Street;LAT;LON
201408103;03/11/2020 0:00;03/03/2020 0:00;2300;14;Pacific;1409;1;330;BURGLARY FROM VEHICLE;0321 0344 1300;26;M;O;108;PARKING LOT;;;IC;Invest Cont;330;;;;3600    WATSEKA                      AV;;340.288;-1.183.996
201411289;05/22/2020 12:00:00 AM;05/10/2020 0:00;1;14;Pacific;1415;1;310;BURGLARY;1606 0344;46;M;W;707;GARAGE/CARPORT;500;UNKNOWN WEAPON/OTHER WEAPON;IC;Invest Cont;310;;;;1000    ELKGROVE                     AV;;34;-1.184.598
202110343;06/10/2020 0:00;06/04/2020 0:00;1900;21;Topanga;2183;1;331;THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER);385;44;F;W;101;STREET;;;IC;Invest Cont;331;;;;CALABASH;RIGOLETTO;34.16;-1.186.262
211008707;06/02/2021 0:00;01/01/2020 0:00;1657;10;West Valley;1063;2;354;THEFT OF IDENTITY;1822 0930;55;F;W;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;354;;;;5300    VELOZ                        AV;;341.668;-1.185.402
202107302;03/13/2020 12:00:00 AM;03/12/2020 0:00;1600;21;Topanga;2115;1;510;VEHICLE - STOLEN;;0;;;101;STREET;;;IC;Invest Cont;510;;;;8200    REMMET                       AV;;342.184;-1.186.003
201713085;09/10/2020 0:00;09/10/2020 0:00;1140;17;Devonshire;1728;1;310;BURGLARY;1607 1300 0216 0321 0389 1202 0352 0344;73;F;W;501;SINGLE FAMILY DWELLING;;;IC;Invest Cont;310;;;;11000    BAIRD                        AV;;342.696;-1.185.372
211704367;01/12/2021 0:00;12/12/2020 0:00;800;17;Devonshire;1708;1;420;THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER);;0;;;101;STREET;;;IC;Invest Cont;420;;;;12200    WOODLEY                      AV;;342.911;-1.184.891
201710942;07/09/2020 0:00;07/09/2020 0:00;900;17;Devonshire;1708;1;330;BURGLARY FROM VEHICLE;1609 1300 0209 0202;59;M;H;108;PARKING LOT;;;IC;Invest Cont;330;;;;11800    BALBOA                       BL;;342.841;-1.185.021
201808755;03/26/2020 12:00:00 AM;03/26/2020 12:00:00 AM;1430;18;Southeast;1801;2;930;CRIMINAL THREATS - NO WEAPON DISPLAYED;1822 0359 0443 1266 0400;43;X;X;406;OTHER STORE;400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);IC;Invest Cont;930;;;;8600    ORCHARD                      AV;;339.601;-1.182.881
210604868;01/22/2021 12:00:00 AM;12/02/2020 0:00;945;6;Hollywood;663;1;330;BURGLARY FROM VEHICLE;0344 0329 1307 1609;29;M;H;108;PARKING LOT;;;IC;Invest Cont;330;;;;1100 N  SYCAMORE                     AV;;340.907;-1.183.428
201415143;08/08/2020 0:00;08/07/2020 0:00;2130;14;Pacific;1457;2;740;VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS);0329 1300;0;X;X;108;PARKING LOT;;;IC;Invest Cont;740;;;;12300    CULVER                       BL;;339.916;-1.184.162
202110215;06/06/2020 0:00;06/05/2020 0:00;1700;21;Topanga;2138;2;626;INTIMATE PARTNER - SIMPLE ASSAULT;2000 1241 0448 2002 0444;31;F;H;502;MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC);400;STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE);AA;Adult Arrest;626;;;;20300    COHASSET                     ST;;342.071;-1.185.754
201513160;07/27/2020 12:00:00 AM;07/23/2020 12:00:00 AM;5;15;N Hollywood;1527;1;230;ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT;1310 1822 1100;23;M;W;101;STREET;106;UNKNOWN FIREARM;AA;Adult Arrest;230;;;;6000    KLUMP                        AV;;341.794;-1.183.758
201316496;09/04/2020 0:00;09/04/2020 0:00;1415;13;Newton;1361;1;648;ARSON;910;0;M;W;102;SIDEWALK;;;IC;Invest Cont;648;;;;GRAND                        ST;49TH                         ST;339.983;-1.182.802
202009082;04/29/2020 12:00:00 AM;04/28/2020 12:00:00 AM;1800;20;Olympic;2053;1;510;VEHICLE - STOLEN;;0;;;101;STREET;;;AA;Adult Arrest;510;;;;OLYMPIC                      BL;SERRANO                      ST;340.526;-1.183.063
